RECORD
996722
917942
691986
718883
649717
1053859
777200
956520
658933
7034
995567
7040
7039
7038
7037
7036
7035
7042
7041
7033
7043
459429
934793
243059
114694
1059883
1048475
845810
241946
1000954
665158
524297
1045012
288274
1042323
252834
448369
111420
811018
982930
410505
980276
253179
253181
535114
435070
847492
701719
333412
12076
610682
330292
794108
638993
973912
382398
147578
1013941
796933
912500
665157
210362
151044
139726
684704
723532
1042324
229616
649675
598251
1065208
539374
33564
383006
860520
934780
116647
817296
817349
750325
871048
820884
216948
912501
155893
584882
584878
584874
584875
584876
584889
584888
584877
584887
584883
584879
584880
584881
584886
584885
584884
584872
584897
584873
584865
584866
584867
584868
584863
584893
584895
584892
584896
584864
584891
584869
584870
584890
584871
584894
310842
684813
536544
1064340
991517
537547
327332
33751
866431
47984
994813
994819
687227
994815
994817
917946
259237
965516
95995
420
330291
1048771
106681
1015470
532418
994821
538500
844895
86946
992071
519314
519315
877038
863931
56136
181024
538302
899607
965506
873722
279133
965514
238391
965512
606654
565397
644051
878982
432010
432011
432012
432018
432013
432015
432016
432009
432017
432014
798641
965500
537672
965508
965510
882439
241654
643751
882514
865445
255547
255555
255517
255518
255519
255520
255521
255522
255548
255525
255527
255528
255529
255530
255531
255532
255533
255539
255540
255541
255542
255543
255544
255545
255546
255515
255514
255549
255495
255554
255553
255550
255488
255489
255490
255491
255492
255493
255494
255496
255510
255499
255500
255501
255502
255503
255504
255505
255507
255508
255509
255513
255526
255538
255551
922368
712085
965504
965502
581146
373564
934764
14979
1062743
979038
779736
928716
1065870
1005901
1034628
649812
884032
309177
917945
760541
804572
651838
237599
39770
899517
706277
917409
774812
428
1031977
804573
782888
154522
583641
806726
223485
7056
803040
152303
872526
1059376
1059378
1059374
1034614
255535
255536
255552
255537
244353
346241
346240
346239
64271
153251
293330
310336
1034616
1034618
1034620
1034622
1034624
1034626
975046
975048
975070
975053
975051
975055
975066
88389
818084
617495
448676
857317
382472
1042091
236172
600141
56134
444389
363451
702977
882861
872906
270981
56969
751488
280232
444388
991228
684926
1064226
789591
1044250
295796
243061
220482
1023457
706427
750629
255516
748586
255498
255506
255497
244527
294325
987666
242931
976655
773744
1069925
706599
106723
703816
652258
146231
1065652
678704
678703
678702
678701
678705
678699
678700
989650
706602
991532
201010
2
444254
657427
1013781
1013751
400303
427340
242782
382099
7054
780571
243105
994657
881839
627347
161892
255511
255512
1064851
255523
989262
444390
237289
243106
814287
234056
846167
652311
175179
965520
991964
965518
234247
895193
159430
163980
243060
655273
60469
1020928
706598
44249
1054166
1017952
242989
243117
1004922
734196
920022
703110
85962
48221
201194
1007218
700779
222936
255524
255534
865448
865446
247084
922762
606664
970506
970522
970488
970490
970492
970496
970494
970500
970504
970502
970512
970486
970498
970514
970520
243022
346238
346237
981751
1042647
587870
1030082
1065210
167787
213115
242784
508549
1063550
651839
153066
991282
282644
734335
942462
399579
848323
89348
898633
972961
943901
921816
915474
643376
1053832
174559
1048590
223314
90197
211990
748183
865447
921715
1004975
1049151
986428
986402
986404
986426
991962
986410
986412
986418
986420
210195
1059498
561383
613824
222562
650776
977316
981883
1027742
243063
41924
1037740
64269
243062
687304
998862
238470
235991
994211
782703
950453
950381
950380
104411
447559
3839
809524
833038
328983
777502
867470
1030079
579512
879749
1061488
989658
865449
771150
1048455
684563
6837
752488
167785
627564
962495
264421
999771
780489
780419
328555
328554
328553
243066
780420
1059372
686
1025246
962798
356615
243104
991323
991525
160555
991521
991523
991527
991511
991505
991507
991529
991344
991342
991519
991298
991327
991503
991325
991300
991348
991302
991304
991350
991513
991509
899732
170703
170702
170704
170705
170706
170707
509289
356833
778262
1048648
373282
56120
843845
748180
1051872
335237
